Application Date,Permit Status,Permit Type,Event Category,Event Sub-Category,Name of Event,Year-Month-App#,Event Start Date,Event End Date,Event Location - Park,Event Location - Neighborhood,Council District,Precinct,Organization,Attendance
11/15/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - The Ruins,S16NO515,11/26/2016 12:00:00 AM,11/26/2016 12:00:00 AM,,Queen Anne,7,West,Red Carpet Valet,20
10/10/2016 12:00:00 AM,Complete,Special Event,Community,,2016 Tree Lighting Celebration,S16NO490,11/25/2016 12:00:00 AM,11/25/2016 12:00:00 AM,,Downtown,7,West,Downtown Seattle Association,3000
12/02/2015 12:00:00 AM,Complete,Special Event,Commercial,,My Macy's Starlighting and Fireworks,S16NO016,11/25/2016 12:00:00 AM,11/25/2016 12:00:00 AM,,Downtown,7,West,Macy's Inc,15010
12/02/2015 12:00:00 AM,Complete,Special Event,Citywide,,My Macy's Holiday Parade,S16NO018,11/25/2016 12:00:00 AM,11/25/2016 12:00:00 AM,,Downtown,7,West,Macy's Inc.,23000
08/15/2016 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,Montlake Community Club 5K Turkey Trot and Kids Run,S16NO435,11/24/2016 12:00:00 AM,11/24/2016 12:00:00 AM,,Montlake / Portage Bay,3,North,Montlake Community Club,430
01/21/2016 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,Seattle Turkey Trot,S16NO083,11/24/2016 12:00:00 AM,11/24/2016 12:00:00 AM,,Ballard,6,North,Ballard Food Bank,4600
11/07/2016 12:00:00 AM,Complete,Special Event,Community,,Sounders FC March to the Match (11.22),S16NO508,11/22/2016 12:00:00 AM,11/22/2016 12:00:00 AM,Occidental Park,Pioneer Square,7,West,Seattle Sounders FC,500
08/03/2016 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,Green Lake Gobble 10K & 5K Run and Walk,S16NO424,11/20/2016 12:00:00 AM,11/20/2016 12:00:00 AM,,Green Lake,6,North,"Pro-Motion Events, Inc",1750
05/31/2016 12:00:00 AM,Complete,Special Event,Commercial,,CBS Radio Hometown Hangar (11.20),S16NO322,11/20/2016 12:00:00 AM,11/20/2016 12:00:00 AM,,Duwamish / SODO,2,South,CBS Seattle,770
11/14/2016 12:00:00 AM,Complete,Valet Parking,,,Butlet Valet - Seattle Aquarium - Grinstein Memorial,S16NO514,11/20/2016 12:00:00 AM,11/20/2016 12:00:00 AM,,Downtown,7,West,Butler Valet,150
08/29/2016 12:00:00 AM,Complete,Special Event,Community,,UW Husky Marching Band Pre-Game Rally (11.18),S16NO452,11/18/2016 12:00:00 AM,11/18/2016 12:00:00 AM,,University District,4,North,University of Washington Husky Marching Band,1000
10/12/2016 12:00:00 AM,Complete,Special Event,Commercial,,Seattle Symphony Friday Matinees concert (11.18),S16NO494,11/18/2016 12:00:00 AM,11/18/2016 12:00:00 AM,,Downtown,7,West,Seattle Symphony/Benaroya Hall,329
11/14/2016 12:00:00 AM,Complete,Valet Parking,,,Butler Valet - Tiger Oak Publications Fremont Studios,S16NO513,11/17/2016 12:00:00 AM,11/17/2016 12:00:00 AM,,Fremont,6,North,Butler Valet,300
11/09/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Metropolis,S16NO510,11/17/2016 12:00:00 AM,11/17/2016 12:00:00 AM,,Duwamish / SODO,2,West,Red Carpet Valet,40
11/10/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Fred Lind Manor,S16NO512,11/16/2016 12:00:00 AM,11/16/2016 12:00:00 AM,,Capitol Hill,3,East,Red Carpet Valet,25
09/22/2016 12:00:00 AM,Complete,Special Event,Community,,Sodo Flea (11.12),S16NO480,11/12/2016 12:00:00 AM,11/12/2016 12:00:00 AM,,Duwamish / SODO,2,West,Rejuvenation,2030
09/27/2016 12:00:00 AM,Complete,Special Event,Community,,USC Trojan Marching Band Pep Rally,S16NO483,11/11/2016 12:00:00 AM,11/11/2016 12:00:00 AM,,Cascade / Eastlake / South Lake Union,3,West,USC Trojan Marching Band,180
08/29/2016 12:00:00 AM,Complete,Special Event,Community,,UW Husky Marching Band Pre-Game Rally (11.11),S16NO451,11/11/2016 12:00:00 AM,11/11/2016 12:00:00 AM,,University District,4,North,University of Washington Husky Marching Band,1000
11/03/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Showbox Sodo,S16NO505,11/10/2016 12:00:00 AM,11/10/2016 12:00:00 AM,,Duwamish / SODO,2,West,Red Carpet Valet,90
11/07/2016 12:00:00 AM,Complete,Valet Parking,,,Butler Valet - Swedish Cherry Hill,S16NO509,11/09/2016 12:00:00 AM,11/09/2016 12:00:00 AM,,First Hill,3,East,Butler Valet,250
11/03/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Shade Store,S16NO506,11/09/2016 12:00:00 AM,11/09/2016 12:00:00 AM,,Downtown,7,West,Red Carpet Valet,50
06/30/2016 12:00:00 AM,Complete,Special Event,Athletic,Water,Head of the Lake,S16NO377,11/06/2016 12:00:00 AM,11/06/2016 12:00:00 AM,,Cascade / Eastlake / South Lake Union,2,West,Lake Washington Rowing Club,2300
08/18/2016 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,The Mustache Dache,S16NO441,11/06/2016 12:00:00 AM,11/06/2016 12:00:00 AM,Magnuson Park,Laurelhurst / Sand Point,4,North,Fizz Events LLC,1425
08/01/2016 12:00:00 AM,Complete,Special Event,Commercial,,Fuel Outdoor Beer Garden (11.6-7),S16NO413,11/06/2016 12:00:00 AM,11/07/2016 12:00:00 AM,,Pioneer Square,7,South,Fuel Sports Eats and Beats,420
11/02/2016 12:00:00 AM,Complete,Valet Parking,,,Four Park Avenue - Pacific Northwest Ballet Opening Night,S16NO504,11/04/2016 12:00:00 AM,11/04/2016 12:00:00 AM,,Queen Anne,7,West,Four Park Avenue,30
10/05/2016 12:00:00 AM,Complete,Special Event,Commercial,,All Hands,S16NO489,11/03/2016 12:00:00 AM,11/03/2016 12:00:00 AM,,Multiple Neighborhoods,7,West,Spplus,2940
10/25/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Trove,S16NO499,11/03/2016 12:00:00 AM,11/03/2016 12:00:00 AM,,Capitol Hill,3,East,Red Carpet Valet,60
10/24/2016 12:00:00 AM,Complete,Special Event,Community,,Boo Bash at the Beach,S16OC498,10/31/2016 12:00:00 AM,10/31/2016 12:00:00 AM,,Rainier Valley,2,South,Southeast Effective Development/SEED,2100
08/22/2016 12:00:00 AM,Complete,Special Event,Community,,Magnolia Village Halloween Trick or Treat,S16OC442,10/31/2016 12:00:00 AM,10/31/2016 12:00:00 AM,,Magnolia,7,West,Magnolia Chamber of Commerce,955
08/23/2016 12:00:00 AM,Complete,Special Event,Community,,Trolloween and Haunt of Fremont Procession,S16OC443,10/31/2016 12:00:00 AM,10/31/2016 12:00:00 AM,,Fremont,6,North,Fremont Arts Council,400
01/26/2016 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,PurpleStride Puget Sound 2016,S16OC090,10/30/2016 12:00:00 AM,10/30/2016 12:00:00 AM,,Laurelhurst / Sand Point,4,North,Pancreatic Cancer Action Network,2700
10/28/2016 12:00:00 AM,Complete,Special Event,Community,,Sounders FC March to the Match (10.30),S16OC501,10/30/2016 12:00:00 AM,10/30/2016 12:00:00 AM,,Pioneer Square,3,West,Seattle Sounders FC,505
08/16/2016 12:00:00 AM,Complete,Special Event,Community,,West Seattle Harvest Festival,S16OC437,10/30/2016 12:00:00 AM,10/30/2016 12:00:00 AM,,West Seattle,1,West,West Seattle Junction Association,550
02/01/2016 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,Making Strides Against Breast Cancer of Seattle,S16OC099,10/29/2016 12:00:00 AM,10/29/2016 12:00:00 AM,,Queen Anne,7,West,"AMERICAN CANCER SOCIETY, INC.",3600
08/03/2016 12:00:00 AM,Complete,Special Event,Community,,Boogie Nights,S16OC426,10/29/2016 12:00:00 AM,10/29/2016 12:00:00 AM,,Green Lake,6,North,"Pro-Motion Events, Inc",340
10/25/2016 12:00:00 AM,Complete,Valet Parking,,,Butler Valet - Grim Home,S16OC500,10/29/2016 12:00:00 AM,10/29/2016 12:00:00 AM,,Capitol Hill,3,East,Butler Valet,100
10/24/2016 12:00:00 AM,Complete,Special Event,Community,,Sounders FC March to the Match (10.27),S16OC497,10/27/2016 12:00:00 AM,10/27/2016 12:00:00 AM,,Pioneer Square,3,West,Seattle Sounders FC,505
10/19/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Proton 360,S16OC496,10/27/2016 12:00:00 AM,10/27/2016 12:00:00 AM,,Pioneer Square,7,South,Red Carpet Valet,40
09/01/2016 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,Dawg Dash,S16OC454,10/23/2016 12:00:00 AM,10/23/2016 12:00:00 AM,,Multiple Neighborhoods,4,North,"University of Washington, Alumni",2700
01/21/2016 12:00:00 AM,Complete,Special Event,Community,,Sounders FC March to the Match (10.23),S16OC082,10/23/2016 12:00:00 AM,10/23/2016 12:00:00 AM,,Pioneer Square,3,West,Seattle Sounders FC,705
07/08/2016 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,Light the Night Walk,S16OC389,10/22/2016 12:00:00 AM,10/22/2016 12:00:00 AM,,Lower Queen Anne,7,West,Leukemia & Lymphoma Society,2100
10/10/2016 12:00:00 AM,Complete,Special Event,Community,,Dog-o-ween,S16OC492,10/22/2016 12:00:00 AM,10/22/2016 12:00:00 AM,Bell Street Park,Belltown,7,West,Seattle Parks and Recreation,250
06/28/2016 12:00:00 AM,Complete,Special Event,Commercial,,R-Day,S16OC370,10/22/2016 12:00:00 AM,10/22/2016 12:00:00 AM,,Duwamish / SODO,2,South,KEXP and Boldhat Productions,3020
06/16/2016 12:00:00 AM,Cancelled,Special Event,Commercial,,These Are The Drones You're Looking For,S16JY351,10/22/2016 12:00:00 AM,10/22/2016 12:00:00 AM,Magnuson Park,Laurelhurst / Sand Point,4,North,"UIEvolution, Inc",125
08/29/2016 12:00:00 AM,Complete,Special Event,Community,,UW Husky Marching Band Pre-Game Rally (10.21),S16OC450,10/21/2016 12:00:00 AM,10/21/2016 12:00:00 AM,,University District,4,North,University of Washington Husky Marching Band,1000
07/29/2016 12:00:00 AM,Complete,Special Event,Community,,Weyerhaeuser Grand Opening,S16OC415,10/21/2016 12:00:00 AM,10/21/2016 12:00:00 AM,,Pioneer Square,7,South,Dover Entertainment,800
05/31/2016 12:00:00 AM,Complete,Special Event,Commercial,,CBS Radio Hometown Hangar (10.16),S16OC321,10/16/2016 12:00:00 AM,10/16/2016 12:00:00 AM,,Duwamish / SODO,2,South,CBS Seattle,770
07/13/2016 12:00:00 AM,Complete,Special Event,Commercial,,NFL Sponsor Appreciation Event,S16OC390,10/16/2016 12:00:00 AM,10/16/2016 12:00:00 AM,,Duwamish / SODO,2,West,The Travelers Inc/National Event Pros,315
05/11/2016 12:00:00 AM,Cancelled,Special Event,Athletic,Run/Walk,10936.1 Yard Dash,S16OC291,10/15/2016 12:00:00 AM,10/15/2016 12:00:00 AM,Lake Union Park,Westlake,"3, 4, 7",West,Flow Fitness,600
05/04/2016 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,2016 Puget Sound Heart and Stroke Walk,S16OC279,10/15/2016 12:00:00 AM,10/15/2016 12:00:00 AM,,Queen Anne,7,West,American Heart Association,6200
08/29/2016 12:00:00 AM,Cancelled,Special Event,Free Speech,,A21 Walk For Freedom,S16OC445,10/15/2016 12:00:00 AM,10/15/2016 12:00:00 AM,,Downtown,7,West,City Church,200
10/12/2016 12:00:00 AM,Complete,Valet Parking,,,Butler Valet - Palace Ballroom (10.12),S16OC493,10/15/2016 12:00:00 AM,10/15/2016 12:00:00 AM,,Downtown,7,West,Butler Valet,60
09/30/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - ACT Theatre,S16OC485,10/14/2016 12:00:00 AM,10/14/2016 12:00:00 AM,,Downtown,7,West,Red Carpet Valet,90
10/11/2016 12:00:00 AM,Complete,Special Event,Commercial,,Seattle Symphony Open Rehearsal,S16OC491,10/13/2016 12:00:00 AM,10/13/2016 12:00:00 AM,,Downtown,7,West,Seattle Symphony,1300
01/21/2016 12:00:00 AM,Complete,Special Event,Community,,Sounders FC March to the Match (10.12),S16OC081,10/12/2016 12:00:00 AM,10/12/2016 12:00:00 AM,,Pioneer Square,3,West,Seattle Sounders FC,705
09/12/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Holy Names Academy,S16OC466,10/12/2016 12:00:00 AM,10/12/2016 12:00:00 AM,,Capitol Hill,3,East,Red Carpet Valet,80
09/22/2016 12:00:00 AM,Complete,Special Event,Free Speech,,Grand Protest of Ethiopians in Seattle,S16OC475,10/11/2016 12:00:00 AM,10/11/2016 12:00:00 AM,,Belltown,7,West,Ethiopians Public Forum in Seattle,100
09/08/2016 12:00:00 AM,Complete,Special Event,Free Speech,,Indigenous Peoples' Day Celebration March,S16OC461,10/10/2016 12:00:00 AM,10/10/2016 12:00:00 AM,,Downtown,7,West,Canoes C/O Shannon Morrison,220
08/03/2016 12:00:00 AM,Complete,Special Event,Community,,Double Tenth Flag Raising and Parade,S16OC425,10/09/2016 12:00:00 AM,10/09/2016 12:00:00 AM,,International District,2,West,Taiwanese Chamber of Commerce of Seattle,350
09/14/2016 12:00:00 AM,Complete,Special Event,Community,,Corson Building Wedding (10.8),S16OC471,10/08/2016 12:00:00 AM,10/08/2016 12:00:00 AM,,Georgetown,2,South,The Corson Building,92
09/22/2016 12:00:00 AM,Complete,Special Event,Community,,Sodo Flea (10.8),S16OC479,10/08/2016 12:00:00 AM,10/08/2016 12:00:00 AM,,Duwamish / SODO,2,West,Rejuvenation,2030
07/01/2016 12:00:00 AM,Complete,Special Event,Commercial,,Great Pumpkin Beer Festival,S16OC380,10/08/2016 12:00:00 AM,10/08/2016 12:00:00 AM,,Duwamish / SODO,2,West,Elysian Brewing,10000
09/12/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Seattle Art Museum,S16OC465,10/07/2016 12:00:00 AM,10/07/2016 12:00:00 AM,,Downtown,7,West,Red Carpet Valet,125
09/22/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Westward Boat Cruises,S16OC476,10/07/2016 12:00:00 AM,10/07/2016 12:00:00 AM,,Cascade / Eastlake / South Lake Union,3,West,Red Carpet Valet,60
07/13/2016 12:00:00 AM,Complete,Special Event,Community,,Seattle Greek Festival,S16OC393,10/07/2016 12:00:00 AM,10/09/2016 12:00:00 AM,,Montlake / Portage Bay,3,North,St. Demetrios Greek Orthodox Church,4500
09/09/2016 12:00:00 AM,Complete,Special Event,Commercial,,"Toth Construction, Inc Open Haus/Oktoberfest",S16OC463,10/06/2016 12:00:00 AM,10/06/2016 12:00:00 AM,,Georgetown,2,South,Toth Construction,600
08/02/2016 12:00:00 AM,Complete,Special Event,Community,,Greek Community Block Party,S16OC419,10/05/2016 12:00:00 AM,10/05/2016 12:00:00 AM,,University District,4,North,Interfraternity Council and Panhellenic Council at the University of Washington,900
09/28/2016 12:00:00 AM,Complete,Special Event,Community,,Benefit for NW Harvest/ Don Steven's Birthday and Celebration of Life,S16OC482,10/04/2016 12:00:00 AM,10/04/2016 12:00:00 AM,,Capitol Hill,3,East,Bill's off Broadway Restaurant,315
09/12/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet  - Fremont Studios (10.4),S16OC464,10/04/2016 12:00:00 AM,10/04/2016 12:00:00 AM,,Fremont,6,North,Red Carpet Valet,65
10/05/2015 12:00:00 AM,Complete,Special Event,Athletic,Water,Tail of the Lake Regatta,S16OC006,10/02/2016 12:00:00 AM,10/02/2016 12:00:00 AM,,Cascade / Eastlake / South Lake Union,4,West,Holy Names Academy,950
08/03/2016 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,Magnolia Run the Bluff,S16OC423,10/02/2016 12:00:00 AM,10/02/2016 12:00:00 AM,,Magnolia,7,West,"Pro-Motion Events, Inc",900
08/16/2016 12:00:00 AM,Complete,Special Event,Community,,Bizzarro Italian Café Celebration,S16OC436,10/01/2016 12:00:00 AM,10/01/2016 12:00:00 AM,,Wallingford,4,North,Bizzarro Italian Café,425
09/22/2016 12:00:00 AM,Complete,Special Event,Community,,Book Signing,S16OC478,10/01/2016 12:00:00 AM,10/01/2016 12:00:00 AM,,Capitol Hill,3,East,Elliott Bay Book Co,1530
08/25/2016 12:00:00 AM,Complete,Special Event,Community,,Elysian Brewing’s 2nd Annual Great Pumpkin Weigh-Off,S16OC444,10/01/2016 12:00:00 AM,10/01/2016 12:00:00 AM,,Georgetown,2,South,Elysian Brewing,300
09/22/2016 12:00:00 AM,Complete,Special Event,Community,,Plaza Roberto Maestas Grand Opening Ceremony,S16OC477,10/01/2016 12:00:00 AM,10/01/2016 12:00:00 AM,,Beacon Hill,2,South,El Centro de La Raza,1250
07/05/2016 12:00:00 AM,Complete,Special Event,Commercial,,Macefield Music Festival,S16OC384,10/01/2016 12:00:00 AM,10/01/2016 12:00:00 AM,,Ballard,6,North,"Macefield Music Festival, LLC",925
06/17/2016 12:00:00 AM,Cancelled,Special Event,Commercial,,Trucktoberfest,S16OC352,10/01/2016 12:00:00 AM,10/02/2016 12:00:00 AM,,Cascade / Eastlake / South Lake Union,7,West,Piranha Blonde Interactive,20040
08/08/2016 12:00:00 AM,Complete,Special Event,Commercial,,Seattle Symphony Friday Matinees Concert,S16SE429,09/30/2016 12:00:00 AM,09/30/2016 12:00:00 AM,,Downtown,7,West,Seattle Symphony/Benaroya Hall,198
12/07/2015 12:00:00 AM,Complete,Special Event,Free Speech,,Mass of the Holy Spirit Procession,S16SE024,09/29/2016 12:00:00 AM,09/29/2016 12:00:00 AM,,First Hill,3,East,Seattle University,410
07/01/2016 12:00:00 AM,Complete,Special Event,Community,,Up Your Ave,S16SE383,09/29/2016 12:00:00 AM,09/29/2016 12:00:00 AM,,University District,4,North,The U District Partnership,1025
08/29/2016 12:00:00 AM,Complete,Special Event,Community,,UW Husky Marching Band Pre-Game Rally (9.29),S16SE449,09/29/2016 12:00:00 AM,09/29/2016 12:00:00 AM,,University District,4,North,University of Washington Husky Marching Band,1000
09/08/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Merrill Gardens,S16SE459,09/29/2016 12:00:00 AM,09/29/2016 12:00:00 AM,,Ballard,6,North,Red Carpet Valet,75
01/21/2016 12:00:00 AM,Complete,Special Event,Community,,Sounders FC March to the Match (9.28),S16SE080,09/28/2016 12:00:00 AM,09/28/2016 12:00:00 AM,,Pioneer Square,3,West,Seattle Sounders FC,705
02/02/2016 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,Fremont Oktoberfest Alpine Climb 5K,S16SE105,09/25/2016 12:00:00 AM,09/25/2016 12:00:00 AM,Gas Works Park,Fremont,6,North,Bold Hat Productions,1230
03/25/2016 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,The Orca Half,S16SE202,09/25/2016 12:00:00 AM,09/25/2016 12:00:00 AM,,West Seattle,1,"Southwest, West",Orca Running,650
06/20/2016 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,Trot to Yacht,S16SE359,09/25/2016 12:00:00 AM,09/25/2016 12:00:00 AM,,Cascade / Eastlake / South Lake Union,3,West,Flying Unicorn Racing,600
04/11/2016 12:00:00 AM,Complete,Special Event,Community,,Seattle Summer Parkways - West Seattle,S16SE244,09/25/2016 12:00:00 AM,09/25/2016 12:00:00 AM,,West Seattle,1,West,Seattle Department of Transportation,3070
05/31/2016 12:00:00 AM,Complete,Special Event,Commercial,,CBS Radio Hometown Hangar (9.25),S16SE320,09/25/2016 12:00:00 AM,09/25/2016 12:00:00 AM,,Duwamish / SODO,2,South,CBS Seattle,770
07/25/2016 12:00:00 AM,Complete,Special Event,Commercial,,Fuel Outdoor Beer Garden (9.25),S16SE408,09/25/2016 12:00:00 AM,09/25/2016 12:00:00 AM,,Pioneer Square,7,South,Fuel Sports Eats and Beats,420
09/21/2016 12:00:00 AM,Complete,Valet Parking,,,Butlet Valet - World Concern - Fremont Studios,S16SE474,09/25/2016 12:00:00 AM,09/25/2016 12:00:00 AM,,Fremont,6,North,Butler Valet,225
07/29/2016 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,End AIDS Walk & 5K Run,S16SE416,09/24/2016 12:00:00 AM,09/24/2016 12:00:00 AM,Volunteer Park,Capitol Hill,3,East,Lifelong,2150
03/07/2016 12:00:00 AM,Complete,Special Event,Free Speech,,"Global March for Elephants, Rhinos and Lions",S16SE160,09/24/2016 12:00:00 AM,09/24/2016 12:00:00 AM,,Queen Anne,7,West,Emerald City Pet Rescue,320
09/21/2016 12:00:00 AM,Complete,Valet Parking,,,Butler Valet - Agros - Fremont Studios,S16SE473,09/23/2016 12:00:00 AM,09/23/2016 12:00:00 AM,,Fremont,6,North,Butler Valet,150
06/07/2016 12:00:00 AM,Complete,Special Event,Community,,Bite of Broadview,S16SE339,09/23/2016 12:00:00 AM,09/25/2016 12:00:00 AM,,Broadview / Bitter Lake,5,North,Christ the King Catholic Church,2090
02/02/2016 12:00:00 AM,Complete,Special Event,Commercial,,Fremont Oktoberfest,S16SE104,09/23/2016 12:00:00 AM,09/25/2016 12:00:00 AM,,Fremont,6,North,Fremont Chamber of Commerce,16450
08/02/2016 12:00:00 AM,Cancelled,Special Event,Community,,SCC 50th Anniversary Celebration,S16SE418,09/22/2016 12:00:00 AM,09/22/2016 12:00:00 AM,,Capitol Hill,3,East,Seattle Central College,500
09/06/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Georgetown Ballroom,S16SE457,09/21/2016 12:00:00 AM,09/21/2016 12:00:00 AM,,Georgetown,2,South,Red Carpet Valet,100
09/16/2016 12:00:00 AM,Cancelled,Special Event,Free Speech,,Ethiopian Community Protest Rally,S16SE472,09/19/2016 12:00:00 AM,09/19/2016 12:00:00 AM,,Downtown,3,West,Ethiopians in Seattle,520
07/22/2016 12:00:00 AM,Complete,Special Event,Athletic,Water,Seattle Row for the Cure,S16SE405,09/18/2016 12:00:00 AM,09/18/2016 12:00:00 AM,,Cascade / Eastlake / South Lake Union,"3, 4, 6, 7",West,George Pocock Rowing Foundation,1000
07/01/2016 12:00:00 AM,Complete,Special Event,Community,,Mount Baker Town Center: the Design Change Street Festival!,S16SE382,09/18/2016 12:00:00 AM,09/18/2016 12:00:00 AM,,Mt. Baker / North Rainier,2,South,"Friends of Mt Baker Town Center (sponsored by Seattle Parks Foundation), with Mt Baker Hub Business Association",315
08/17/2016 12:00:00 AM,Complete,Special Event,Community,,Tag and Table,S16SE439,09/18/2016 12:00:00 AM,09/18/2016 12:00:00 AM,,Capitol Hill,3,East,Les Dames D'Escoffier Seattle Chapter,220
07/20/2016 12:00:00 AM,Cancelled,Special Event,Athletic,Cycling,Ride Around the Sound,S16SE402,09/17/2016 12:00:00 AM,09/17/2016 12:00:00 AM,,Downtown,7,West,American Lung Association of the Mountain Pacific,265
06/30/2016 12:00:00 AM,Cancelled,Special Event,Free Speech,,Night Light,S16SE379,09/17/2016 12:00:00 AM,09/17/2016 12:00:00 AM,,Broadview / Bitter Lake,5,North,REST (Real Escape from the Sex Trade),200
06/24/2016 12:00:00 AM,Cancelled,Special Event,Community,,Art Rising,S16SE364,09/17/2016 12:00:00 AM,09/17/2016 12:00:00 AM,,Cascade / Eastlake / South Lake Union,7,West,South Lake Union Chamber of Commerce,4050
04/29/2016 12:00:00 AM,Complete,Special Event,Community,,Seattle Fiestas Patrias 2016,S16SE276,09/17/2016 12:00:00 AM,09/17/2016 12:00:00 AM,,South Park,1,Southwest,Sea Mar Community Health Centers,500
01/21/2016 12:00:00 AM,Complete,Special Event,Community,,Sounders FC March to the Match (9.17),S16SE079,09/17/2016 12:00:00 AM,09/17/2016 12:00:00 AM,,Pioneer Square,3,West,Seattle Sounders FC,705
08/13/2016 12:00:00 AM,Complete,Valet Parking,,,Butler Valet - Aegis of Queen Anne Rodgers Park,S16SE470,09/17/2016 12:00:00 AM,09/17/2016 12:00:00 AM,,Queen Anne,7,West,Butler Valet,250
09/09/2016 12:00:00 AM,Complete,Special Event,Free Speech,,"Water is Life - ""Mni Wiconi""",S16SE462,09/16/2016 12:00:00 AM,09/16/2016 12:00:00 AM,,Downtown,7,West,Ndns for Justice,220
09/06/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Fashion First,S16SE456,09/16/2016 12:00:00 AM,09/16/2016 12:00:00 AM,,Downtown,7,West,Red Carpet Valet,75
06/15/2016 12:00:00 AM,Complete,Special Event,Community,,St. Benedict Wallingford Wurst Festival,S16SE350,09/16/2016 12:00:00 AM,09/17/2016 12:00:00 AM,,Wallingford,4,North,St. Benedict Parish & School,4800
07/26/2016 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,The Susan G. Komen Seattle 3-Day,S16SE409,09/16/2016 12:00:00 AM,09/18/2016 12:00:00 AM,,Lower Queen Anne,"2, 3, 4, 7",West,"The Susan G Komen Breast Cancer Foundation, Inc",1550
07/19/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - UW Medicine Advancement,S16SE401,09/15/2016 12:00:00 AM,09/16/2016 12:00:00 AM,,Cascade / Eastlake / South Lake Union,7,West,Red Carpet Valet,85
09/06/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Gen Next (9.14),S16SE455,09/14/2016 12:00:00 AM,09/14/2016 12:00:00 AM,,Downtown,7,West,Red Carpet Valet,20
06/28/2016 12:00:00 AM,Complete,Special Event,Commercial,,Boats Afloat Show,S16SE372,09/14/2016 12:00:00 AM,09/18/2016 12:00:00 AM,,Cascade / Eastlake / South Lake Union,3,West,Northwest Yacht Brokers Association,6350
08/30/2016 12:00:00 AM,Complete,Special Event,Free Speech,,Washington State Nurses Association Informational Picket - Seattle Children's Hospital,S16SE446,09/13/2016 12:00:00 AM,09/13/2016 12:00:00 AM,,Laurelhurst / Sand Point,4,East,Washington State Nurses Association,415
08/01/2016 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,Women of Wonder 10K & 5K Run & Walk,S16SE417,09/11/2016 12:00:00 AM,09/11/2016 12:00:00 AM,Greenlake Park,Green Lake,6,North,"Pro-Motion Events, Inc",1750
09/01/2016 12:00:00 AM,Complete,Special Event,Free Speech,,Team RWB Old Glory Relay,S16SE453,09/11/2016 12:00:00 AM,09/11/2016 12:00:00 AM,,Multiple Neighborhoods,"2, 7",North,Microsoft - Team RWB,150
08/09/2016 12:00:00 AM,Complete,Special Event,Community,,MBCC's Day in the Park Event,S16SE431,09/11/2016 12:00:00 AM,09/11/2016 12:00:00 AM,,Mt. Baker / North Rainier,2,South,Mount Baker Community Club,350
05/31/2016 12:00:00 AM,Complete,Special Event,Commercial,,CBS Radio Hometown Hangar (9.11),S16SE319,09/11/2016 12:00:00 AM,09/11/2016 12:00:00 AM,,Duwamish / SODO,2,South,CBS Seattle,770
07/25/2016 12:00:00 AM,Complete,Special Event,Commercial,,Fuel Outdoor Beer Garden (9.11),S16SE407,09/11/2016 12:00:00 AM,09/11/2016 12:00:00 AM,,Pioneer Square,7,South,Fuel Sports Eats and Beats,420
08/02/2016 12:00:00 AM,Complete,Special Event,Community,,C-ID Night Market,S16SE422,09/10/2016 12:00:00 AM,09/10/2016 12:00:00 AM,,International District,2,West,Chinatown International District Business Improvement Area,7600
08/17/2016 12:00:00 AM,Complete,Special Event,Community,,Leschi 5th Annual Community Festival,S16SE440,09/10/2016 12:00:00 AM,09/10/2016 12:00:00 AM,,Madrona / Leschi,"3, 4",West,Leschi Business Association/ Leschi Community Council,330
